x,y,z,gene
4675.0,2783.0,33,para
4669.0,2774.0,33,para
4654.0,2752.0,33,para
4633.0,2441.0,33,para
4618.0,2587.0,33,para
4577.0,2752.0,33,para
4542.0,2528.0,33,para
5218.0,2813.0,34,para
4862.0,2717.0,34,para
4695.0,2765.0,34,para
4647.0,2759.0,34,para
4617.0,2447.0,34,para
4401.0,2664.0,34,para
5233.0,2800.0,35,para
4759.0,2549.0,35,para
4735.0,2747.0,35,para
4718.0,2532.0,35,para
4710.0,2558.0,35,para
4641.0,2445.0,35,para
5215.0,2799.0,36,para
4866.0,2722.0,36,para
4671.0,2751.0,36,para
4598.0,2534.0,36,para
4567.0,2444.0,36,para
4566.0,2720.0,36,para
4558.0,2725.0,36,para
4292.0,2706.0,36,para
4593.0,2460.0,37,para
4549.0,2693.0,37,para
4567.0,2457.0,38,para
4550.0,2494.0,39,para
4526.0,2646.0,39,para
4548.0,2576.0,41,para
4499.0,2494.0,42,para
4656.0,2852.0,11,axo
4807.0,2532.0,12,axo
4657.0,2858.0,12,axo
5376.0,2201.0,13,axo
4859.0,2302.0,13,axo
4855.0,2292.0,13,axo
4832.0,2503.0,13,axo
4823.0,2508.0,13,axo
4816.0,2528.0,13,axo
4815.0,2361.0,13,axo
4784.0,2299.0,13,axo
4775.0,2343.0,13,axo
4496.0,2798.0,13,axo
4776.0,2340.0,14,axo
5410.0,2532.0,15,axo
4739.0,2177.0,15,axo
4705.0,2629.0,16,axo
4663.0,2854.0,16,axo
4746.0,2190.0,17,axo
4724.0,2563.0,17,axo
5436.0,2390.0,18,axo
5161.0,2739.0,19,axo
4628.0,2847.0,19,axo
4567.0,2800.0,19,axo
4748.0,2230.0,20,axo
4659.0,2805.0,20,axo
4657.0,2798.0,20,axo
5272.0,2546.0,21,axo
4859.0,2613.0,21,axo
4844.0,2450.0,21,axo
4869.0,2490.0,23,axo
4866.0,2490.0,23,axo
4864.0,2484.0,23,axo
4677.0,2629.0,23,axo
4868.0,2481.0,24,axo
5414.0,2711.0,26,axo
4951.0,2572.0,26,axo
4565.0,2762.0,28,axo
5365.0,2734.0,29,axo
4826.0,2707.0,29,axo
4339.0,2687.0,32,axo
4377.0,2582.0,36,axo
4315.0,2683.0,37,axo
4502.0,2548.0,38,axo
4524.0,2544.0,41,axo
4796.0,2706.0,11,Wnt4
4729.0,2878.0,11,Wnt4
4898.0,2379.0,12,Wnt4
4622.0,2901.0,13,Wnt4
4864.0,2504.0,14,Wnt4
4845.0,2525.0,14,Wnt4
4864.0,2512.0,16,Wnt4
4783.0,2225.0,20,Wnt4
4865.0,2386.0,22,Wnt4
4519.0,2653.0,33,Wnt4
4533.0,2657.0,35,Wnt4
4934.0,2635.0,13,Wnt10
4890.0,2438.0,13,Wnt10
4879.0,2415.0,13,Wnt10
4795.0,2189.0,13,Wnt10
4879.0,2420.0,14,Wnt10
4807.0,2187.0,14,Wnt10
4908.0,2524.0,15,Wnt10
4847.0,2202.0,16,Wnt10
4911.0,2533.0,17,Wnt10
4864.0,2321.0,18,Wnt10
4828.0,2208.0,18,Wnt10
4803.0,2150.0,18,Wnt10
4854.0,2258.0,19,Wnt10
4864.0,2529.0,23,Wnt10
4869.0,2536.0,27,Wnt10
4773.0,2567.0,27,Wnt10
4876.0,2365.0,12,CG32204
4816.0,2621.0,12,CG32204
4748.0,2845.0,12,CG32204
4702.0,2727.0,12,CG32204
4665.0,2887.0,12,CG32204
4880.0,2311.0,13,CG32204
4860.0,2627.0,13,CG32204
4816.0,2330.0,13,CG32204
4815.0,2214.0,13,CG32204
4814.0,2217.0,13,CG32204
4804.0,2426.0,13,CG32204
4729.0,2596.0,13,CG32204
4667.0,2868.0,13,CG32204
4954.0,2491.0,14,CG32204
4899.0,2471.0,14,CG32204
4882.0,2199.0,14,CG32204
4864.0,2279.0,14,CG32204
4824.0,2416.0,14,CG32204
4811.0,2216.0,14,CG32204
4765.0,2577.0,14,CG32204
4703.0,2734.0,14,CG32204
4900.0,2196.0,15,CG32204
4856.0,2421.0,15,CG32204
4823.0,2281.0,15,CG32204
4814.0,2251.0,15,CG32204
4697.0,2829.0,15,CG32204
4667.0,2832.0,15,CG32204
4911.0,2269.0,16,CG32204
4898.0,2380.0,16,CG32204
4851.0,2477.0,16,CG32204
4914.0,2280.0,17,CG32204
4899.0,2283.0,17,CG32204
4804.0,2325.0,17,CG32204
4802.0,2262.0,17,CG32204
4776.0,2241.0,17,CG32204
4747.0,2556.0,17,CG32204
4709.0,2657.0,18,CG32204
4600.0,2824.0,18,CG32204
4845.0,2205.0,19,CG32204
4912.0,2456.0,20,CG32204
4856.0,2342.0,20,CG32204
4678.0,2764.0,20,CG32204
4603.0,2817.0,20,CG32204
4862.0,2293.0,21,CG32204
4843.0,2391.0,21,CG32204
4678.0,2799.0,21,CG32204
4906.0,2495.0,22,CG32204
4848.0,2400.0,22,CG32204
4782.0,2318.0,22,CG32204
4745.0,2423.0,22,CG32204
4710.0,2693.0,22,CG32204
4801.0,2195.0,23,CG32204
4799.0,2170.0,23,CG32204
4704.0,2836.0,23,CG32204
4930.0,2496.0,24,CG32204
4697.0,2778.0,24,CG32204
4875.0,2497.0,26,CG32204
4641.0,2804.0,26,CG32204
4622.0,2416.0,26,CG32204
4896.0,2485.0,27,CG32204
4730.0,2432.0,27,CG32204
4645.0,2805.0,27,CG32204
4872.0,2499.0,28,CG32204
4665.0,2405.0,28,CG32204
4700.0,2598.0,30,CG32204
4639.0,2777.0,30,CG32204
